id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3686,Home in Washington · ★4.64 · 1 bedroom · 1 bed · 1 private bath,4645,Vita,,Historic Anacostia,38.86339,-76.98889,Private room,67,31,84,2023-08-30,0.53,1,365,3,
3943,Townhouse in Washington · ★4.83 · 1 bedroom · 1 bed · 1 private bath,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room,66,1,495,2023-11-22,2.78,5,252,46,Hosted License: 5007242201001033
4197,Home in Washington · ★4.85 · 1 bedroom · 1 bed · 1.5 shared baths,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88719,-76.99472,Private room,135,7,58,2023-11-11,0.33,2,321,6,Hosted License: 5007242201000749
4529,Home in Washington · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,5803,Bertina,,"Eastland Gardens, Kenilworth",38.90585,-76.94469,Private room,56,30,102,2019-07-05,0.58,2,179,0,Exempt
4967,Home in Washington · ★4.74 · 1 bedroom · 1 bed · 3 baths,7086,Edward,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.91217,-76.99249,Private room,2500,1125,30,2016-09-22,0.19,3,365,0,
5589,Rental unit in Washington · ★4.50 · 1 bedroom · 1 bed · 1 bath,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,Entire home/apt,60,31,96,2023-08-17,0.55,1,121,1,
6165,Townhouse in Washington · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.95331,-77.03624,Private room,82,31,23,2023-07-03,0.14,3,365,1,
7103,Guest suite in Washington · ★4.79 · 1 bedroom · 2 beds · 1 bath,17633,Charlotte,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,Entire home/apt,66,31,91,2022-06-03,0.54,33,364,0,
11785,Rental unit in Washington · ★4.59 · 1 bedroom · 3 beds · 1 bath,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire home/apt,85,31,412,2022-06-27,2.43,4,361,0,
12442,Home in Washington · ★4.61 · 1 bedroom · 1 bed · 1.5 shared baths,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,Private room,52,31,117,2023-07-01,0.70,4,365,2,
13744,Rental unit in Washington · ★4.84 · 1 bedroom · 2 beds · 1 bath,53927,Victoria,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,125,3,38,2023-11-14,0.23,1,82,3,Hosted License: 5007242201000873
14218,Home in Washington · ★4.62 · 1 bedroom · 1 bed · 1.5 shared baths,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,Private room,52,31,104,2023-06-02,0.68,4,352,3,
17131,Home in Washington · ★4.66 · 1 bedroom · 1 bed · 1.5 shared baths,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,Private room,52,31,107,2023-09-14,0.64,4,365,2,
26147,Home in Washington · ★4.50 · 1 bedroom · 1 bed · 1.5 shared baths,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.95528,-77.03463,Private room,50,31,9,2018-08-20,0.05,3,365,0,
27281,Rental unit in Washington · ★4.77 · 1 bedroom · 3 beds · 1 bath,117099,Stephen,,"Union Station, Stanton Park, Kingman Park",38.90053,-76.99133,Entire home/apt,645,31,13,2016-07-14,0.08,1,364,0,
27682,Rental unit in Washington · ★5.0 · 1 bedroom · 1 bed · 1 bath,36646,Ellen,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,Entire home/apt,65,120,11,2022-08-13,0.07,2,364,0,
32087,Bed and breakfast in Washington · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,138459,Lucia,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,259,1,15,2023-01-29,0.10,11,146,1,Exempt
52092,Rental unit in Washington · ★4.35 · 2 bedrooms · 3 beds · 1 bath,50148,Adreinne,,"Shaw, Logan Circle",38.9077,-77.02431,Entire home/apt,75,31,195,2022-08-11,1.21,3,143,0,
62122,Home in Washington · ★4.85 · 2 bedrooms · 2 beds · 1 private bath,301975,Sarah (And JT),,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,Private room,95,5,128,2023-10-29,0.93,1,181,16,Hosted License: 5007242201000081
67483,Guest suite in Washington · ★4.51 · 1 bedroom · 1 bed · 1 bath,332901,Chris And Shawanda,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,Entire home/apt,99,31,162,2023-11-01,1.03,1,47,2,
79866,Home in Washington · ★4.89 · 1 bedroom · 1 bed,7086,Edward,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90493,-76.98643,Private room,2500,1000,10,2016-08-27,0.06,3,365,0,
79867,Home in Washington · ★4.90 · 1 bedroom · 1 bed,7086,Edward,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90618,-76.98498,Private room,2500,1125,10,2016-09-30,0.07,3,365,0,
93551,Townhouse in Washington · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,481929,Chris,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876,Private room,82,31,103,2023-07-30,0.67,4,364,1,
116951,Townhouse in Washington · ★4.68 · 1 bedroom · 2 beds · 1.5 baths,481929,Chris,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91435869686174,-77.01809903471504,Private room,69,31,85,2023-08-06,0.56,4,364,2,
150109,Rental unit in Washington · ★4.83 · 1 bedroom · 1 bed · 1 bath,723470,Steffanie,,"Dupont Circle, Connecticut Avenue/K Street",38.91525,-77.04001,Entire home/apt,135,31,30,2022-03-01,0.20,1,55,0,
153545,Home in Washington · ★4.65 · 1 bedroom · 1 bed · 2 shared baths,738459,Natasha,,"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417,Private room,48,30,39,2023-07-01,0.26,5,365,1,Hosted License: 5007242201000811<br />Unhosted License: 5007262201000812
155859,Home in Washington · ★4.87 · 1 bedroom · 1 bed · 1 private bath,745305,Larry And Paulette,,"Takoma, Brightwood, Manor Park",38.96628,-77.0309,Private room,60,31,129,2019-10-28,0.85,2,90,0,
164069,Home in Washington · ★4.85 · 1 bedroom · 1 bed · 1 private bath,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91366,-77.00803,Private room,,1,210,2023-10-22,1.39,5,0,11,Hosted License: 5007242201001033
174808,Home in Washington · ★4.95 · 1 bedroom · 1 bed · 1 bath,835242,Jeffrey,,Historic Anacostia,38.86432,-76.98749,Private room,95,2,75,2023-09-17,0.80,1,159,18,Hosted License: 5007242201001736
175608,Rental unit in Washington · ★4.30 · 2 bedrooms · 2 beds · 1 bath,50148,Adreinne,,"Shaw, Logan Circle",38.90756,-77.02212,Entire home/apt,60,31,189,2023-10-16,1.27,3,292,4,
178395,Home in Washington · 1 bedroom · 4 beds · 1.5 shared baths,852801,Allison,,"Takoma, Brightwood, Manor Park",38.96165,-77.01858,Private room,399,31,0,,,2,365,0,
196429,Guest suite in Washington · ★4.20 · Studio · 2 beds · 1 bath,956417,Julia,,"Takoma, Brightwood, Manor Park",38.96923,-77.02041,Entire home/apt,125,31,5,2022-04-01,0.04,1,358,0,
198685,Townhouse in Washington · ★4.72 · 1 bedroom · 1 bed · 1.5 shared baths,966613,Robin,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93395,-77.01625,Private room,65,31,155,2023-07-02,1.04,3,170,1,
