id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,baths
3686,Historic Anacostia,38.86339,-76.98889,Private room,67.0,31,84,1,365,3,4.64,1.0,1.0
3943,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room,66.0,1,495,5,252,46,4.83,1.0,1.0
4197,"Capitol Hill, Lincoln Park",38.88719,-76.99472,Private room,135.0,7,58,2,321,6,4.85,1,unknown
4529,"Eastland Gardens, Kenilworth",38.90585,-76.94469,Private room,56.0,30,102,2,179,0,4.66,1,unknown
4967,"Ivy City, Arboretum, Trinidad, Carver Langston",38.91217,-76.99249,Private room,2500.0,1125,30,3,365,0,4.74,1.0,3.0
5589,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,Entire home/apt,60.0,31,96,1,121,1,4.5,1.0,1.0
6165,"Brightwood Park, Crestwood, Petworth",38.95331,-77.03624,Private room,82.0,31,23,3,365,1,4.95,1.0,5.0
7103,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,Entire home/apt,66.0,31,91,33,364,0,4.79,1.0,1.0
11785,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire home/apt,85.0,31,412,4,361,0,4.59,1.0,1.0
12442,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,Private room,52.0,31,117,4,365,2,4.61,1,unknown
13744,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,125.0,3,38,1,82,3,4.84,1.0,1.0
14218,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,Private room,52.0,31,104,4,352,3,4.62,1,unknown
17131,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,Private room,52.0,31,107,4,365,2,4.66,1,unknown
26147,"Brightwood Park, Crestwood, Petworth",38.95528,-77.03463,Private room,50.0,31,9,3,365,0,4.5,1,unknown
27281,"Union Station, Stanton Park, Kingman Park",38.90053,-76.99133,Entire home/apt,645.0,31,13,1,364,0,4.77,1.0,1.0
27682,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,Entire home/apt,65.0,120,11,2,364,0,5.0,1.0,1.0
32087,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,259.0,1,15,11,146,1,4.86,1.0,5.0
52092,"Shaw, Logan Circle",38.9077,-77.02431,Entire home/apt,75.0,31,195,3,143,0,4.35,2.0,1.0
62122,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,Private room,95.0,5,128,1,181,16,4.85,2.0,1.0
67483,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,Entire home/apt,99.0,31,162,1,47,2,4.51,1.0,1.0
79866,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90493,-76.98643,Private room,2500.0,1000,10,3,365,0,4.89,1,unknown
79867,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90618,-76.98498,Private room,2500.0,1125,10,3,365,0,4.9,1,unknown
93551,"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876,Private room,82.0,31,103,4,364,1,4.74,1.0,5.0
116951,"Howard University, Le Droit Park, Cardozo/Shaw",38.91435869686174,-77.01809903471504,Private room,69.0,31,85,4,364,2,4.68,1.0,5.0
150109,"Dupont Circle, Connecticut Avenue/K Street",38.91525,-77.04001,Entire home/apt,135.0,31,30,1,55,0,4.83,1.0,1.0
153545,"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417,Private room,48.0,30,39,5,365,1,4.65,1,unknown
155859,"Takoma, Brightwood, Manor Park",38.96628,-77.0309,Private room,60.0,31,129,2,90,0,4.87,1.0,1.0
164069,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91366,-77.00803,Private room,,1,210,5,0,11,4.85,1.0,1.0
174808,Historic Anacostia,38.86432,-76.98749,Private room,95.0,2,75,1,159,18,4.95,1.0,1.0
175608,"Shaw, Logan Circle",38.90756,-77.02212,Entire home/apt,60.0,31,189,3,292,4,4.3,2.0,1.0
178395,"Takoma, Brightwood, Manor Park",38.96165,-77.01858,Private room,399.0,31,0,2,365,0,unknown,1,unknown
196429,"Takoma, Brightwood, Manor Park",38.96923,-77.02041,Entire home/apt,125.0,31,5,1,358,0,4.2,unknown,1
198685,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93395,-77.01625,Private room,65.0,31,155,3,170,1,4.72,1,unknown
201116,"Takoma, Brightwood, Manor Park",38.97474,-77.01997,Entire home/apt,90.0,28,222,1,330,2,4.49,1.0,1.0
204741,"Congress Heights, Bellevue, Washington Highlands",38.82768,-76.99624,Private room,33.0,31,117,2,0,1,4.6,1,unknown
223203,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,90.0,2,14,4,365,1,4.79,1.0,5.0
223922,"Brightwood Park, Crestwood, Petworth",38.94482,-77.04437,Entire home/apt,123.0,1,202,5,0,32,4.75,1.0,5.0
251611,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,90.0,2,1,4,365,0,unknown,1,5
251615,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,90.0,2,6,4,365,0,4.83,1.0,5.0
251619,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,90.0,2,9,4,365,1,4.67,1.0,5.0
262629,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96691,-77.0044,Private room,58.0,90,40,2,363,0,4.87,1.0,1.0
