id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,baths
3686,Historic Anacostia,38.86339,-76.98889,Private room,67.0,31,84,1,365,3,4.64,1.0,1.0
3943,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room,66.0,1,495,5,252,46,4.83,1.0,1.0
5589,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,Entire home/apt,60.0,31,96,1,121,1,4.5,1.0,1.0
6165,"Brightwood Park, Crestwood, Petworth",38.95331,-77.03624,Private room,82.0,31,23,3,365,1,4.95,1.0,5.0
7103,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,Entire home/apt,66.0,31,91,33,364,0,4.79,1.0,1.0
11785,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire home/apt,85.0,31,412,4,361,0,4.59,1.0,1.0
13744,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,125.0,3,38,1,82,3,4.84,1.0,1.0
27682,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,Entire home/apt,65.0,120,11,2,364,0,5.0,1.0,1.0
32087,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,259.0,1,15,11,146,1,4.86,1.0,5.0
52092,"Shaw, Logan Circle",38.9077,-77.02431,Entire home/apt,75.0,31,195,3,143,0,4.35,2.0,1.0
62122,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,Private room,95.0,5,128,1,181,16,4.85,2.0,1.0
67483,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,Entire home/apt,99.0,31,162,1,47,2,4.51,1.0,1.0
93551,"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876,Private room,82.0,31,103,4,364,1,4.74,1.0,5.0
116951,"Howard University, Le Droit Park, Cardozo/Shaw",38.91435869686174,-77.01809903471504,Private room,69.0,31,85,4,364,2,4.68,1.0,5.0
150109,"Dupont Circle, Connecticut Avenue/K Street",38.91525,-77.04001,Entire home/apt,135.0,31,30,1,55,0,4.83,1.0,1.0
155859,"Takoma, Brightwood, Manor Park",38.96628,-77.0309,Private room,60.0,31,129,2,90,0,4.87,1.0,1.0
174808,Historic Anacostia,38.86432,-76.98749,Private room,95.0,2,75,1,159,18,4.95,1.0,1.0
175608,"Shaw, Logan Circle",38.90756,-77.02212,Entire home/apt,60.0,31,189,3,292,4,4.3,2.0,1.0
201116,"Takoma, Brightwood, Manor Park",38.97474,-77.01997,Entire home/apt,90.0,28,222,1,330,2,4.49,1.0,1.0
223203,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,90.0,2,14,4,365,1,4.79,1.0,5.0
223922,"Brightwood Park, Crestwood, Petworth",38.94482,-77.04437,Entire home/apt,123.0,1,202,5,0,32,4.75,1.0,5.0
251615,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,90.0,2,6,4,365,0,4.83,1.0,5.0
251619,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,90.0,2,9,4,365,1,4.67,1.0,5.0
262629,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96691,-77.0044,Private room,58.0,90,40,2,363,0,4.87,1.0,1.0
290001,"Shaw, Logan Circle",38.91001,-77.02563,Entire home/apt,189.0,2,171,1,158,16,4.85,1.0,1.0
296196,"Dupont Circle, Connecticut Avenue/K Street",38.9146,-77.03602,Entire home/apt,149.0,3,81,1,0,17,4.89,1.0,1.0
298346,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92306,-77.10052,Entire home/apt,120.0,3,13,2,18,1,4.92,1.0,1.0
299030,"Colonial Village, Shepherd Park, North Portal Estates",38.9806,-77.03084,Private room,95.0,1,35,2,365,9,4.87,1.0,5.0
303723,"Howard University, Le Droit Park, Cardozo/Shaw",38.91611,-77.02662,Entire home/apt,150.0,31,169,1,84,0,4.78,1.0,1.0
306465,"Dupont Circle, Connecticut Avenue/K Street",38.91297,-77.0465,Entire home/apt,198.0,5,19,1,166,3,4.56,2.0,1.0
313405,"Colonial Village, Shepherd Park, North Portal Estates",38.9793,-77.0283,Private room,98.0,1,32,2,364,16,4.87,1.0,1.0
339208,"Capitol View, Marshall Heights, Benning Heights",38.89094,-76.93638,Entire home/apt,80.0,4,156,1,295,12,4.75,2.0,1.0
355527,"Capitol Hill, Lincoln Park",38.88408,-77.0035,Entire home/apt,172.0,2,150,1,209,5,4.78,1.0,1.0
382111,"Capitol Hill, Lincoln Park",38.89099,-76.99458,Entire home/apt,175.0,2,270,1,118,11,4.79,1.0,1.0
453159,"Capitol Hill, Lincoln Park",38.87772,-76.985,Entire home/apt,101.0,3,391,1,99,47,4.92,2.0,2.0
453315,"Union Station, Stanton Park, Kingman Park",38.89538,-76.98648,Entire home/apt,85.0,2,954,1,0,62,4.88,1.0,1.0
525672,"Capitol Hill, Lincoln Park",38.88183,-76.98911,Entire home/apt,137.0,3,260,2,0,11,4.87,1.0,1.0
542144,"Capitol Hill, Lincoln Park",38.88745,-76.99293,Entire home/apt,145.0,31,30,1,358,1,4.9,1.0,1.0
561697,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91096,-77.00858,Entire home/apt,80.0,2,351,5,65,27,4.77,1.0,1.0
638604,"Georgetown, Burleith/Hillandale",38.91438,-77.06933,Entire home/apt,169.0,31,7,3,365,0,3.29,1.0,1.0
